	Unnamed: 0	type_of_house	living_space	number_of_rooms	rent	construction_year	street	zipcode	region	tag	latitude	longitude
99	99		20	1.0	395	2019	Altstraße 24	63450	Hanau, Main-Kinzig-Kreis	/expose/106842815	50.13146029999999	50.13146029999999
100	100	Maisonette	190	6.0	4560			60594	Sachsenhausen, Sachsenhausen-Nord	/expose/114070987	50.105315600000004	50.105315600000004
101	101	Penthouse	200	7.0	3350	unbekannt		61348	Bad Homburg v.d.H., Bad Homburg vor der Höhe	/expose/92399822	50.2227094	50.2227094
102	102	Maisonette	600	15.0	13400	1900	Auf der Körnerwiese 17-19	60322	Frankfurt am Main, Westend-Nord	/expose/98567656	50.1228066	50.1228066
103	103	Etagenwohnung	203	7.0	5300	1900		60322	Frankfurt am Main / Westend-Nord, Frankfurt am Main	/expose/113898942	18.78378	18.78378
104	104	Etagenwohnung	340	11.0	3220	1984	Karl Herrmann Flach Str. 15a	61440	Oberursel, Oberursel (Taunus)	/expose/113652947	50.1973	50.1973
105	105	Dachgeschoss	208	7.0	4600	1906		61476	Kronberg, Kronberg im Taunus	/expose/114217461	50.190833700000006	50.190833700000006
106	106	Maisonette	172		3350	1887		60594	Frankfurt, Sachsenhausen-Nord	/expose/113355215	50.0978128	50.0978128
107	107	Etagenwohnung	320	9.0	7600	1900	Auf der Körnerwiese 17-19	60322	Frankfurt am Main, Westend-Nord	/expose/89886750	50.1228066	50.1228066
108	108	Terrassenwohnung	190	7.0	2630	1991	Louisenstraße 121	61348	Bad Homburg, Bad Homburg vor der Höhe	/expose/88933784	50.2234073	50.2234073
109	109	Maisonette	280		6500			60599	Frankfurt am Main, Sachsenhausen-Süd	/expose/113324779	50.070781200000006	50.070781200000006
110	110		135	6.0	1740	1992		65817	Eppstein, Main-Taunus-Kreis	/expose/114003664	50.1493295	50.1493295
111	111	Penthouse	250	6.0	3895	1985		60431	Frankfurt, Eschersheim	/expose/114526448	50.1612049	50.1612049
112	112	Maisonette	108	6.0	1566	1954		63069	Offenbach am Main, Lauterborn	/expose/114328979	50.0841415	50.0841415
113	113	Maisonette	277	8.0	5450	1913		65812	Bad Soden, Bad Soden am Taunus	/expose/113165975	50.14291420000001	50.14291420000001
114	114	Etagenwohnung	250	7.0	5400			60325	Frankfurt am Main, Westend-Süd	/expose/114458148	50.1152448	50.1152448
115	115	Etagenwohnung	200	7.0	3600			60325	Frankfurt, Westend-Süd	/expose/106937651	50.1152448	50.1152448
116	116	Maisonette	317	6.0	6750	1906		61476	Kronberg, Kronberg im Taunus	/expose/114217070	50.190833700000006	50.190833700000006
117	117	Penthouse	179	6.0	2830	2020	Riedstraße 10 a	63225	Langen, Langen (Hessen)	/expose/114497702	49.9916	49.9916
118	118	Penthouse	601	6.0	20588	unbekannt	Hochstraße 42-46	60322	Frankfurt am Main, Innenstadt	/expose/114421851	50.1168752	50.1168752
119	119	Etagenwohnung	152	7.0	1550	1980	Finkenweg 6	61197	Florstadt, Wetteraukreis	/expose/114486965	50.3169939	50.3169939
120	120	Etagenwohnung	38	1.0	899	unbekannt	Bahnhofplatz 2	55116	Mainz, Altstadt	/expose/114543233	50.001195	50.001195
